# File modified by Jason Curtis:
#   - certain columns were removed, others renamed
#   - the row with the column names is no longer commented out so that the names can be read properly.
#
# Original File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Dec  7 06:20:02 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
log_Age Initial_Mass Mass log_Lum log_Temp log_g label Gmag G_BPmag G_RPmag
8.0 5.0484523773 5.048 3.132 4.121 3.445 1 -2.236 -2.314 -2.136
8.0 5.0652914047 5.065 3.156 4.1313 3.464 1 -2.237 -2.32 -2.131
8.0 5.069896698 5.069 3.171 4.142 3.492 1 -2.214 -2.302 -2.102
8.0 5.0719633102 5.071 3.186 4.1526 3.52 1 -2.191 -2.283 -2.073
8.0 5.0730776787 5.072 3.203 4.1633 3.545 1 -2.173 -2.27 -2.049
8.0 5.0736980438 5.073 3.22 4.1724 3.564 1 -2.163 -2.264 -2.034
8.0 5.0740447044 5.073 3.23 4.1777 3.576 1 -2.157 -2.26 -2.025
8.0 5.074224472 5.074 3.212 4.1729 3.575 2 -2.139 -2.241 -2.01
8.0 5.0743842125 5.074 3.19 4.1649 3.565 2 -2.13 -2.228 -2.005
8.0 5.0745296478 5.074 3.176 4.1556 3.542 2 -2.148 -2.241 -2.028
8.0 5.0747084618 5.074 3.17 4.1439 3.5 2 -2.203 -2.291 -2.09
8.0 5.0748963356 5.074 3.178 4.1322 3.446 2 -2.288 -2.371 -2.181
8.0 5.0750999451 5.074 3.19 4.1205 3.387 2 -2.385 -2.463 -2.286
8.0 5.0753149986 5.075 3.202 4.1087 3.328 2 -2.48 -2.552 -2.387
8.0 5.0755376816 5.075 3.21 4.0969 3.273 2 -2.566 -2.633 -2.48
8.0 5.0757651329 5.075 3.216 4.085 3.219 2 -2.645 -2.705 -2.566
8.0 5.0759935379 5.075 3.219 4.0731 3.168 2 -2.717 -2.772 -2.645
8.0 5.0762219429 5.076 3.221 4.0611 3.119 2 -2.784 -2.832 -2.719
8.0 5.07644701 5.076 3.222 4.0492 3.07 2 -2.846 -2.889 -2.788
8.0 5.0766677856 5.076 3.222 4.0372 3.023 2 -2.904 -2.941 -2.853
8.0 5.0768818855 5.076 3.22 4.0252 2.976 2 -2.959 -2.989 -2.916
8.0 5.077088356 5.076 3.218 4.0132 2.93 2 -3.01 -3.034 -2.975
8.0 5.0772867203 5.077 3.215 4.0012 2.885 2 -3.058 -3.075 -3.031
